round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.6842105388641357
1,TEST,8,0.6842105388641357
2,TEST,9,0.6842105388641357
3,TEST,10,0.6842105388641357
4,TEST,11,0.6842105388641357
5,TEST,12,0.6315789222717285
6,TEST,13,0.6315789222717285
7,TEST,14,0.6315789222717285
8,TEST,15,0.7894737124443054
9,TEST,16,0.7894737124443054
10,TEST,17,0.7894737124443054
11,TEST,18,0.7894737124443054
12,TEST,19,0.7894737124443054
13,TEST,20,0.7894737124443054
14,TEST,21,0.7894737124443054
15,TEST,22,0.7894737124443054
16,TEST,23,0.7368420958518982
17,TEST,24,0.7368420958518982
18,TEST,25,0.7368420958518982
19,TEST,26,0.7368420958518982
20,TEST,27,0.7368420958518982
21,TEST,28,0.7368420958518982
22,TEST,29,0.7368420958518982
23,TEST,30,0.6842105388641357
24,TEST,31,0.6315789222717285
25,TEST,32,0.6315789222717285
26,TEST,33,0.6315789222717285
27,TEST,34,0.6315789222717285
28,TEST,35,0.6315789222717285
29,TEST,36,0.6315789222717285
