round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.31578946113586426
1,TEST,8,0.3684210479259491
2,TEST,9,0.3684210479259491
3,TEST,10,0.3684210479259491
4,TEST,11,0.31578946113586426
5,TEST,12,0.3684210479259491
6,TEST,13,0.31578946113586426
7,TEST,14,0.3684210479259491
8,TEST,15,0.3684210479259491
9,TEST,16,0.3684210479259491
10,TEST,17,0.31578946113586426
11,TEST,18,0.2631579041481018
12,TEST,19,0.2631579041481018
13,TEST,20,0.31578946113586426
14,TEST,21,0.31578946113586426
15,TEST,22,0.3684210479259491
16,TEST,23,0.3684210479259491
17,TEST,24,0.3684210479259491
18,TEST,25,0.3684210479259491
19,TEST,26,0.3684210479259491
