round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.2631579041481018
1,TEST,8,0.2631579041481018
2,TEST,9,0.21052631735801697
3,TEST,10,0.31578946113586426
4,TEST,11,0.31578946113586426
5,TEST,12,0.2631579041481018
6,TEST,13,0.31578946113586426
7,TEST,14,0.31578946113586426
8,TEST,15,0.2631579041481018
9,TEST,16,0.31578946113586426
10,TEST,17,0.31578946113586426
11,TEST,18,0.21052631735801697
12,TEST,19,0.2631579041481018
13,TEST,20,0.2631579041481018
14,TEST,21,0.2631579041481018
15,TEST,22,0.2631579041481018
16,TEST,23,0.2631579041481018
17,TEST,24,0.2631579041481018
18,TEST,25,0.2631579041481018
19,TEST,26,0.31578946113586426
