round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.10526315867900848
1,TEST,8,0.21052631735801697
2,TEST,9,0.0
3,TEST,10,0.05263157933950424
4,TEST,11,0.21052631735801697
5,TEST,12,0.10526315867900848
6,TEST,13,0.10526315867900848
7,TEST,14,0.10526315867900848
8,TEST,15,0.10526315867900848
9,TEST,16,0.21052631735801697
10,TEST,17,0.15789473056793213
11,TEST,18,0.15789473056793213
12,TEST,19,0.10526315867900848
13,TEST,20,0.21052631735801697
14,TEST,21,0.2631579041481018
15,TEST,22,0.31578946113586426
16,TEST,23,0.21052631735801697
17,TEST,24,0.21052631735801697
18,TEST,25,0.21052631735801697
19,TEST,26,0.2631579041481018
